term,type,category,description
Orior,Language,World,Ancient language or noble faction root
Giss,Information,World,Information broker or intelligence slang system
Campoors,Location,World,Playable arena region with foggy dystopian atmosphere
Fashing,Style,World,In-world slang for fashion and tech fusion
Bleck,Effect,Core,Onomatopoeic effect for impact or transformation
Honjunitai,Faction,World,Specialized faction or faction offshoot
Resonator,Utility,Core,Basic harmonic resonator for frequency matching
Magitek Core,Core,Core,Advanced core integrating magical and technological energies
Gravitic Field Generator,Field,Core,Powerful device for gravitational field manipulation
Thermal Regulator,Thermal,Core,Ancient device for precise thermal energy control
Harmonic Blade,Weapon,Core,Weapon that resonates with target frequency
Arcane Plate,Armor,Core,Armor with magical protection and tech enhancements
Gravitic Manipulator,Tool,Core,Basic tool for gravity manipulation
Spinjack Core,Core,Core,Spinal implant for kinetic energy storage and release
Turnstile Drive,Propulsion,Core,Advanced propulsion using asymmetrical resonance fields
Ionocaloric Mesh,Thermal,Core,Advanced thermal control using ion cycling
Modular Caboodler,Utility,Core,Versatile utility system with interchangeable modules
Devasting,Concept,World,Adjective form for exotic phenomena (e.g. Devasting Pressure Zones)
esketter ,Utility,Core, pending
inkattrlink,Utility,Core, pending
inkattr,Utility,Core, pending
Phase Gate Anchor,Utility,Core,Portable teleport pad that partially dematerializes objects to reduce mass for transit
TesserFrame Storage,Utility,Core,Inventory system that partially phases items into non-Euclidean storage
HalfMatter Lock,Utility,Core,Security door system only operable by users in specific phase state
Phase Snare,Trap,Core,Immobilization trap that keeps targets in a semi-materialized state
Flicker Blade,Weapon,Core,Melee weapon that phases during attack to bypass armor
Ghostshell Rounds,Weapon,Core,Projectiles that rematerialize inside target after phasing through matter
Phantom Cloak,Utility,Core,Selective dematerialization garment for visual stealth
Phase Drift Harness,Movement,Core,Short-range traversal through solid objects via phase modulation
Aether Lung,Augment,Core,Implant that dematerializes toxins or particles from air intake
Shiftstep Boots,Movement,Core,Footwear that dematerializes impact to enable silent or enhanced jumps
Void Harpoon,Utility,Core,Grapple device that phases through objects to anchor behind them
Tunnel Phase Emitter,Utility,Core,Field emitter that creates temporary tunnels through phased terrain
Phase Sync Node,Utility,Core,Keeps multiple entities in synchronized materialization state
Adaptive Dematerializer,Utility,Core,AI-assisted control unit for customized phasing thresholds
Phase Residue Scanner,Tool,Core,Scans recent phase signatures left by creatures or devices
Inverse Tethering Core,Utility,Core,Tethers phased objects to realspace using harmonic anchors
NeuroLure,Emits low-frequency bio-signals to attract specific aquatic fauna.,Fishing,"target_species, signal_pattern, battery_life"
Quantum Linecaster,Uses entangled hooks that appear inside aquatic organisms. No throw needed.,Fishing,"range, entangle_rate, ethical_rating"
Tideformer Net,Deployable field net that uses energy grids to corral marine life.,Fishing,"capture_radius, power_drain, ecological_disruption"
Sonar Veil,Projects a sonar-reflective veil that creates a false school of prey.,Fishing,"projection_duration, decoy_type, field_signature"
CryoBait Pod,"Freezes micro-prey in a stasis pellet, releases in timed intervals.",Fishing,"release_cycle, biomass_capacity, cold_factor"
SmartSnare,Adaptive terrain trap that detects movement and adjusts tension automatically.,Trapping,"tension_threshold, species_filter, durability"
Phase Trap,Partially dematerializes bait so it can't be stolen—spring-loads on rematerialization.,Trapping,"trap_window, stability, dephase_tolerance"
Graviton Pitfall,Temporarily increases gravity in a localized zone—immobilizes large game.,Trapping,"gravity_field, duration, battery_pack"
Lure Beacon,Emits targeted pheromone/auditory blends to attract land-based fauna.,Trapping,"scent_profile, coverage_area, species_IDs"
Mimic Drone,Camouflaged drone that mimics the call and behavior of prey or predator.,Trapping,"camouflage_mode, behavior_tree, flight_time"
HydroMesh Array,Autonomous aquatic trap grid with AI movement prediction.,Hybrid,"node_count, AI_model, recovery_protocol"
EcoHarvester Bloom,Deploys flower-like drones in water or air that harvest non-lethally.,Hybrid,"collection_type, biomass_rate, preservation_quality"
Tectonic Lure Spike,Sends vibrations into the crust or seabed to coax out burrowed creatures.,Hybrid,"vibration_profile, depth_range, creature_type"
Heat Sink Pack,Consumable,Core,Disposable heat sinks for rapid thermal management in emergency situations
Foundational Gravity-Tech Principles,Knowledge,Foundation,Core data module containing fundamental principles for gravity manipulation
Foundational Wave Manipulation Theory,Knowledge,Foundation,Comprehensive data archive detailing core theories for wave spectrum manipulation
